Sr No.,Name,Roll No,Branch,Python-1,SQL,Calculus-1,Python-2,Hackathon-1,Calculus-2,SM-1,Linear Algebra,Discrete Mathematics,Hackathon-2,DSA,SM-2
18,Alyssa Davidson,STU0018,B.Tech CSE,15.56,26.55,62.88,62.84,62.88,100.0,64.27,78.39,73.85,66.28,42.12,68.97
19,Justin Kane,STU0019,B.Tech AIML,30.68,44.08,37.87,52.05,100.0,3.32,67.16,9.68,38.2,77.22,51.61,23.06
20,Deanna Maldonado,STU0020,B.Tech AIML,32.12,66.99,31.74,55.41,51.14,33.71,100.0,65.85,0.0,54.66,33.46,71.31
21,Michael Herrera,STU0021,B.Tech AIML,30.19,47.13,62.62,71.64,19.99,41.64,38.13,33.67,94.14,60.12,18.48,72.95
22,Todd Vasquez,STU0022,B.Tech CSE,100.0,75.81,12.02,37.89,81.67,32.31,61.1,69.37,26.83,48.51,0.0,24.39
23,Nicholas Johnson,STU0023,B.Tech AIDS,43.69,18.81,90.81,14.25,39.0,53.27,86.03,14.1,79.08,50.26,25.46,61.55
24,Kimberly Page,STU0024,B.Tech AIDS,54.98,34.99,51.75,40.37,52.84,66.55,89.65,19.05,100.0,1.2,46.21,64.71
25,Michael Harvey,STU0025,B.Tech AIML,57.02,34.43,44.8,37.67,35.27,71.24,58.93,32.68,72.49,57.68,70.32,65.74
26,Christian Gomez,STU0026,B.Tech AIDS,29.28,36.0,68.68,65.26,49.48,52.93,81.94,35.21,63.68,44.95,44.56,77.47
27,Yolanda Hartman,STU0027,B.Tech AIML,70.64,70.34,82.64,50.53,67.05,42.24,58.1,46.75,52.42,64.88,29.54,100.0
28,Kimberly Gordon,STU0028,B.Tech AIDS,24.85,19.65,78.95,69.79,65.6,65.71,49.69,27.57,51.9,33.07,74.38,46.32
29,Joseph Nelson,STU0029,B.Tech AIML,29.36,41.97,60.32,35.91,29.44,56.09,56.12,37.33,38.22,55.8,13.8,14.81
30,Brittany Martin,STU0030,B.Tech AIML,32.04,44.66,57.77,86.88,71.44,46.0,49.52,24.94,49.54,42.78,58.07,29.32
31,Emily Carpenter,STU0031,B.Tech AIML,62.98,88.32,47.28,60.04,67.25,39.97,55.6,50.31,52.44,30.67,50.61,62.45
32,Johnathan Thomas,STU0032,B.Tech AIML,86.28,73.98,100.0,30.82,71.81,54.58,100.0,29.79,29.01,35.02,0.0,36.86
33,Katherine Sanders,STU0033,B.Tech CSE,31.02,53.76,58.54,96.9,73.76,35.58,27.54,62.3,16.99,95.79,79.49,38.27
34,Jonathan Williams,STU0034,B.Tech CSE,7.17,83.85,47.14,80.95,10.14,35.02,50.13,51.17,38.75,65.57,23.31,46.44
35,Keith Baldwin,STU0035,B.Tech AIML,53.01,62.86,67.79,21.88,11.65,81.94,58.31,31.29,88.78,52.89,79.48,51.69
36,Leonard Edwards,STU0036,B.Tech AIDS,100.0,93.88,43.78,74.29,66.13,84.22,25.88,67.15,76.46,6.03,20.42,0.0
37,Dana Garrett,STU0037,B.Tech AIML,43.26,67.94,87.56,51.85,90.72,15.5,7.42,48.61,59.6,49.18,0.0,47.77
38,Jennifer English,STU0038,B.Tech AIDS,17.39,66.74,59.16,26.5,37.15,23.52,48.43,73.88,25.36,62.6,36.74,30.18
39,Timothy Bean,STU0039,B.Tech CSE,47.32,24.12,36.16,20.05,99.12,50.88,32.51,55.35,47.19,44.48,65.35,68.94
40,Michelle Fernandez,STU0040,B.Tech CSE,36.74,35.6,43.12,0.0,12.12,84.17,91.12,43.77,64.41,57.78,100.0,77.99
41,Dominic Paul,STU0041,B.Tech CSE,46.8,26.11,9.84,55.09,31.09,14.44,33.84,22.96,92.18,72.04,49.8,87.0
42,Jacob Morris,STU0042,B.Tech AIML,51.93,28.47,88.08,63.47,24.07,45.24,28.11,15.43,73.15,97.74,15.04,64.07
43,Alexandra Mullins,STU0043,B.Tech AIDS,33.73,37.82,35.19,28.4,51.21,29.23,56.76,48.74,44.03,27.31,35.58,68.88
44,Joan Savage,STU0044,B.Tech AIDS,62.52,25.56,52.48,68.78,8.26,63.58,33.43,64.26,30.92,4.88,9.31,51.2
45,Michael Valenzuela,STU0045,B.Tech AIDS,56.49,27.39,65.96,8.46,48.35,19.72,33.7,51.18,28.49,40.39,75.16,35.58
46,Caitlin Hernandez,STU0046,B.Tech AIML,70.89,21.76,63.25,86.04,0.0,30.08,64.43,44.92,59.28,34.9,52.16,46.11
47,Robert Valentine,STU0047,B.Tech AIML,79.19,56.36,58.44,39.7,37.81,39.19,59.86,39.48,57.24,100.0,71.78,41.85
48,Francisco Johnson,STU0048,B.Tech CSE,80.03,39.8,0.0,24.8,3.23,41.21,50.46,91.91,58.17,44.52,70.74,0.0
49,Donna Cox,STU0049,B.Tech CSE,55.89,69.27,13.04,78.59,58.46,39.62,65.82,100.0,54.55,56.21,38.52,28.75
50,Sarah Jones,STU0050,B.Tech AIDS,70.76,28.6,51.79,38.06,61.97,58.34,75.94,37.25,43.25,25.53,38.89,59.43
51,Eric Wilkerson,STU0051,B.Tech AIML,68.92,26.95,71.74,83.89,60.34,96.92,30.66,18.88,5.53,87.4,66.36,48.61
52,Jamie Andrade,STU0052,B.Tech AIDS,57.0,21.86,100.0,53.23,52.73,68.14,62.03,55.6,30.24,61.79,97.05,83.64
53,Anthony Ortiz,STU0053,B.Tech AIDS,89.83,37.22,25.26,46.86,51.39,77.35,7.69,88.24,46.05,39.33,24.7,8.63
54,Gregory Gonzales,STU0054,B.Tech AIML,70.58,51.83,17.75,17.62,41.61,91.73,43.51,12.42,43.86,43.18,0.0,48.64
55,Alexandria Stanton,STU0055,B.Tech AIML,44.23,67.41,96.22,78.16,43.28,22.34,100.0,51.48,50.35,49.4,54.95,46.39
56,Ms. Janet Gonzalez,STU0056,B.Tech AIDS,35.66,36.33,49.18,36.41,32.18,52.66,43.63,87.6,0.0,77.29,81.15,0.0
57,Dennis Vance,STU0057,B.Tech AIML,41.43,40.71,14.81,30.55,22.24,93.81,73.39,81.79,68.04,21.77,36.89,62.23
58,Melanie Long,STU0058,B.Tech CSE,19.45,67.82,43.99,40.63,67.77,61.11,40.98,78.98,22.97,65.4,64.83,42.26
59,Mark Miller MD,STU0059,B.Tech CSE,58.15,18.72,73.1,45.38,36.93,76.23,32.39,14.79,11.08,65.15,17.99,93.87
60,Joseph Smith,STU0060,B.Tech AIDS,0.0,92.41,55.28,47.58,36.38,59.98,49.06,77.58,52.86,53.76,40.91,48.58
61,Dr. Michelle Cannon,STU0061,B.Tech AIML,57.7,7.25,16.3,68.58,54.27,45.4,50.46,58.69,36.51,30.54,54.9,25.54
62,Alicia Dougherty,STU0062,B.Tech AIML,60.21,7.44,75.73,61.81,56.4,74.57,91.64,75.36,3.98,18.01,34.38,50.65
63,Johnathan Villa,STU0063,B.Tech AIDS,62.94,31.86,54.67,31.12,34.71,14.83,26.92,16.21,25.6,76.34,26.27,100.0
64,Lisa Wilson,STU0064,B.Tech AIML,62.33,54.62,28.54,67.51,35.61,53.05,100.0,47.6,78.73,32.42,49.13,94.27
65,Lisa Roy,STU0065,B.Tech AIDS,34.33,95.31,67.69,35.94,65.81,74.31,65.55,10.74,31.82,43.81,48.14,65.52
66,Alexander Smith,STU0066,B.Tech AIDS,54.44,16.62,59.5,65.26,63.99,77.02,70.85,61.48,48.25,8.48,60.74,55.19
67,Martin Lindsey,STU0067,B.Tech CSE,56.79,18.08,22.97,76.33,49.01,67.04,50.71,50.74,73.46,37.1,52.4,38.44
68,Rebecca Ellis,STU0068,B.Tech AIML,39.14,42.27,55.55,38.03,81.39,27.63,45.33,39.01,86.17,54.91,75.8,12.86
69,Robert Juarez,STU0069,B.Tech CSE,56.68,72.24,52.06,76.64,37.07,85.23,100.0,40.93,38.86,86.33,89.49,36.93
70,Dawn Morris,STU0070,B.Tech CSE,39.5,42.96,16.39,27.03,24.9,30.81,49.13,55.86,88.76,25.04,74.61,44.65
71,Rebecca Wells,STU0071,B.Tech AIML,48.76,66.87,21.93,59.56,54.16,62.31,57.23,100.0,34.06,36.73,34.42,36.11
72,Barry Wells,STU0072,B.Tech AIML,34.07,79.73,85.51,35.73,29.19,61.79,36.19,65.82,55.07,12.11,88.69,94.9
73,Heidi Erickson,STU0073,B.Tech AIDS,34.68,40.31,57.15,58.36,66.46,100.0,45.58,30.04,15.52,31.73,49.17,94.86
74,Samantha Jordan,STU0074,B.Tech AIML,37.06,55.59,49.59,79.71,100.0,36.73,37.76,76.1,67.05,96.17,64.6,41.02
75,Scott Foster,STU0075,B.Tech AIDS,64.77,77.72,70.51,62.68,76.67,79.23,84.55,66.22,45.82,53.67,80.16,29.58
76,Benjamin Martin,STU0076,B.Tech AIML,59.22,40.17,50.72,81.96,54.78,51.16,16.0,68.66,66.14,100.0,42.31,55.48
77,Dawn Davis,STU0077,B.Tech AIML,56.23,89.44,47.62,56.98,65.2,54.67,38.84,54.85,76.84,24.34,53.32,32.5
78,Joshua Torres,STU0078,B.Tech CSE,79.88,11.92,36.03,59.43,89.14,48.36,36.12,97.03,13.8,0.0,61.0,37.45
79,Brian Webster,STU0079,B.Tech AIML,24.47,67.71,56.1,35.9,17.99,71.81,66.26,47.52,96.17,23.25,11.86,32.7
80,Megan Smith,STU0080,B.Tech AIDS,48.86,56.08,43.97,58.8,18.71,86.09,47.95,77.93,58.57,61.42,64.24,61.19
81,Alexis Aguirre,STU0081,B.Tech CSE,66.07,83.23,54.91,67.73,47.76,86.0,33.09,95.02,49.0,14.23,53.2,32.97
82,Shelly Thomas,STU0082,B.Tech CSE,71.02,33.68,38.85,2.76,38.69,0.0,10.4,69.01,69.65,60.64,25.83,48.81
83,Stephanie Sanchez,STU0083,B.Tech AIDS,49.91,21.04,87.58,71.93,44.48,50.67,55.21,0.0,43.82,32.95,24.96,42.97
84,Allen Carrillo,STU0084,B.Tech AIDS,94.94,66.02,35.72,64.31,84.98,73.12,51.49,33.83,67.46,59.84,72.38,65.88
85,Rachel Wright,STU0085,B.Tech AIDS,76.24,36.62,82.93,54.94,100.0,32.77,93.4,54.95,33.71,37.9,41.99,60.6
86,Daniel James,STU0086,B.Tech CSE,63.07,35.66,49.39,100.0,93.19,60.91,50.95,53.0,65.34,24.43,43.57,8.29
87,Michael Olson,STU0087,B.Tech CSE,59.98,66.18,37.92,89.35,19.36,13.39,55.61,76.18,92.1,38.53,76.97,49.04
88,Mr. Joseph Walker,STU0088,B.Tech AIML,45.68,72.09,66.31,10.59,86.91,84.5,34.36,59.9,62.35,56.52,36.24,33.21
89,Michelle Mckenzie,STU0089,B.Tech CSE,49.36,79.32,63.59,40.73,69.29,0.0,78.72,6.51,40.94,22.01,17.63,79.02
90,Kevin Holmes,STU0090,B.Tech CSE,38.31,58.66,48.83,61.93,51.92,17.93,74.91,37.66,11.09,39.3,87.52,71.26
91,Amanda George,STU0091,B.Tech CSE,41.28,41.27,41.96,100.0,59.55,60.75,75.76,55.97,43.52,45.09,48.21,49.07
92,Jennifer Fischer,STU0092,B.Tech AIML,68.19,51.3,68.32,47.98,51.97,0.04,72.91,58.66,74.95,0.0,100.0,46.51
93,George Townsend,STU0093,B.Tech CSE,77.7,24.0,65.32,23.66,34.41,97.85,45.23,55.44,71.75,62.39,53.76,59.12
94,Kenneth Morrison,STU0094,B.Tech AIML,100.0,48.56,55.03,76.27,77.64,79.68,65.97,21.42,90.84,21.34,57.57,31.14
95,Joel Rodriguez,STU0095,B.Tech CSE,48.4,58.22,58.03,60.55,90.34,61.34,43.9,74.1,79.74,19.31,64.94,67.53
96,David Garza,STU0096,B.Tech AIML,42.56,84.39,46.25,53.14,45.67,50.39,22.59,14.0,89.86,28.83,25.22,0.0
97,Mary Lewis,STU0097,B.Tech AIDS,34.03,16.92,91.05,75.25,32.8,100.0,74.54,41.88,0.0,100.0,15.26,8.87
98,Candice Smith,STU0098,B.Tech AIDS,75.56,100.0,84.61,64.1,64.87,71.34,68.97,57.03,52.61,48.44,31.15,42.98
99,Sara Lee,STU0099,B.Tech AIDS,7.68,47.54,25.29,22.41,54.5,84.8,72.96,10.74,25.26,73.52,25.44,44.38
100,Alejandro Hanson,STU0100,B.Tech CSE,63.75,25.79,52.63,16.65,34.97,57.99,10.18,61.01,49.51,63.81,55.6,84.1
101,Julie Atkins,STU0101,B.Tech AIDS,53.13,39.26,53.06,63.58,51.22,51.01,32.45,33.43,14.93,93.74,18.9,32.68
102,Kenneth Leon,STU0102,B.Tech AIML,32.04,72.37,42.63,81.19,33.16,56.97,29.12,100.0,20.31,57.75,65.84,60.34
103,Benjamin Brennan,STU0103,B.Tech AIDS,45.37,46.75,51.1,46.32,74.1,100.0,36.06,15.75,47.79,100.0,29.91,90.98
104,Tiffany Newman,STU0104,B.Tech CSE,91.94,36.16,64.22,90.71,40.52,44.91,35.46,24.63,33.77,19.4,50.85,30.75
105,Renee Schwartz,STU0105,B.Tech AIML,55.84,11.1,58.27,70.84,0.16,59.35,80.69,19.76,91.81,60.48,32.37,48.61
106,Heidi Henderson,STU0106,B.Tech CSE,63.96,51.9,63.47,26.98,54.23,14.66,47.22,27.4,31.61,80.9,77.28,65.23
107,Susan Watson,STU0107,B.Tech AIML,22.69,42.09,80.33,53.54,100.0,59.83,54.8,42.27,53.34,46.19,67.7,73.92
108,Emily Johns,STU0108,B.Tech AIML,30.35,16.72,4.09,62.7,22.42,0.0,59.71,100.0,49.85,70.96,52.05,47.53
109,Steven Arnold,STU0109,B.Tech AIDS,72.98,42.74,56.68,58.04,33.3,74.8,45.63,31.11,63.41,27.54,50.7,49.77
110,Brandon Guerrero,STU0110,B.Tech AIML,77.15,61.87,49.37,70.44,84.76,63.95,50.26,17.2,23.37,42.37,34.76,45.33
111,Tammy Andersen,STU0111,B.Tech CSE,51.42,63.24,48.24,62.16,51.61,0.61,26.52,46.4,19.76,65.0,88.27,80.47
112,Timothy Wallace,STU0112,B.Tech AIML,44.66,87.27,53.72,41.57,34.66,42.44,40.3,54.26,54.01,50.08,60.92,79.77
113,Brittany Kim,STU0113,B.Tech AIML,73.74,12.88,0.0,73.36,15.83,44.38,20.75,4.95,63.54,68.98,35.59,0.0
114,Timothy Myers,STU0114,B.Tech CSE,36.34,59.8,13.03,54.58,49.62,64.48,52.99,25.67,79.91,46.04,49.32,26.67
115,Amanda Bates,STU0115,B.Tech AIML,38.92,27.88,45.68,92.79,15.7,9.66,86.78,44.77,33.27,76.0,34.86,95.65
116,Christine Liu,STU0116,B.Tech AIDS,66.95,37.8,100.0,34.86,68.55,57.48,82.54,89.04,50.8,31.16,61.5,33.06
117,Madison Johnson,STU0117,B.Tech AIML,100.0,53.41,40.87,54.62,16.32,25.71,80.01,33.58,23.83,63.42,79.64,67.97
118,Rhonda Mason,STU0118,B.Tech CSE,74.9,31.08,14.45,87.53,41.93,43.73,83.2,63.91,61.4,100.0,33.91,73.2
119,Marc Decker,STU0119,B.Tech AIDS,51.43,56.71,88.21,62.7,63.46,76.81,40.88,29.02,23.88,0.84,100.0,22.42
120,Christian Miller,STU0120,B.Tech AIML,44.47,43.08,57.69,70.39,71.51,35.42,45.82,57.06,43.78,90.18,62.27,68.37
121,Elizabeth Johnson,STU0121,B.Tech AIDS,66.57,79.34,54.53,17.58,59.99,33.72,36.78,64.66,80.96,50.53,57.72,92.56
122,Dylan Jones,STU0122,B.Tech CSE,56.02,100.0,64.14,5.98,68.83,59.53,82.24,66.83,46.54,19.39,44.77,28.74
123,Jennifer Butler,STU0123,B.Tech CSE,35.49,64.71,91.75,59.87,20.1,61.12,79.92,34.76,46.65,50.37,30.38,66.21
124,Evan Gray,STU0124,B.Tech AIML,46.98,60.49,27.81,39.06,68.06,40.68,93.17,40.01,55.62,73.31,14.54,5.98
125,David Diaz,STU0125,B.Tech AIML,11.86,81.56,36.2,100.0,35.89,54.61,88.55,100.0,100.0,80.21,75.6,64.81
126,Christopher Graves,STU0126,B.Tech CSE,69.46,36.22,29.55,49.92,45.75,38.67,67.41,73.88,52.21,86.94,21.46,45.16
127,Kristen Combs,STU0127,B.Tech CSE,32.08,3.34,47.93,46.96,87.84,65.77,24.4,96.35,80.53,64.55,44.34,26.01
128,Sandra Brown,STU0128,B.Tech CSE,40.69,77.22,97.11,88.58,37.78,22.01,53.52,5.79,58.08,46.31,38.35,10.13
129,John Prince,STU0129,B.Tech AIML,62.84,36.68,20.75,0.0,49.31,94.31,91.53,38.57,34.94,61.72,25.04,57.54
130,Shawn Medina,STU0130,B.Tech AIDS,69.15,80.67,47.5,44.91,28.05,29.33,44.34,59.18,72.84,29.92,87.32,43.22
131,Nicholas Lam,STU0131,B.Tech AIDS,49.47,31.32,0.0,72.1,68.42,42.97,51.67,62.9,10.94,36.77,69.86,18.64
132,Anthony Smith,STU0132,B.Tech AIML,57.34,16.09,61.66,49.11,9.62,79.12,31.64,29.74,55.01,78.72,24.6,51.54
133,Randall Harris,STU0133,B.Tech AIML,60.72,67.33,54.41,40.82,29.31,52.15,23.2,0.0,60.91,72.6,0.0,24.76
134,Brittney Anderson,STU0134,B.Tech CSE,65.48,100.0,50.52,31.8,45.43,84.37,33.85,30.02,37.93,26.17,53.07,90.62
135,Alexis Rosario,STU0135,B.Tech AIDS,58.08,43.69,42.7,10.92,72.08,48.05,45.49,100.0,57.47,31.21,39.34,78.71
136,James Watts,STU0136,B.Tech CSE,52.83,14.04,72.98,33.3,96.83,77.0,38.82,82.03,51.7,71.32,62.12,28.84
137,Stephen Larson,STU0137,B.Tech AIML,33.91,75.75,41.63,39.91,26.12,60.59,100.0,23.31,50.61,85.31,48.01,61.31
138,Brenda Wilcox,STU0138,B.Tech CSE,23.44,60.71,45.32,74.64,79.68,100.0,64.49,58.14,54.86,41.17,58.46,42.61
139,Victoria Hansen,STU0139,B.Tech AIML,54.21,82.94,24.84,78.5,82.93,47.05,0.0,34.8,82.42,49.43,25.02,37.38
140,Robert Knight,STU0140,B.Tech AIML,71.02,63.67,44.03,40.83,40.21,26.94,90.38,41.94,80.43,88.03,74.96,39.21
141,Carlos Williams,STU0141,B.Tech AIDS,60.09,49.4,27.41,58.11,20.52,79.69,38.38,55.03,57.08,43.53,64.67,38.13
142,Douglas Thomas,STU0142,B.Tech AIML,71.78,16.35,53.16,98.47,24.99,33.06,62.85,54.49,58.77,62.23,65.87,77.74
143,Susan Whitehead,STU0143,B.Tech AIDS,60.25,43.97,66.81,97.5,46.68,25.64,77.68,46.99,0.0,71.19,36.62,47.74
144,Andrea Walker,STU0144,B.Tech AIML,58.3,54.76,67.74,39.11,62.83,43.51,68.47,65.38,26.61,77.15,36.6,70.2
145,Heather Gill,STU0145,B.Tech AIML,59.18,95.95,44.41,41.27,49.51,42.42,70.0,9.59,23.66,23.3,73.76,92.77
146,Ricky Lopez,STU0146,B.Tech AIML,47.39,45.78,51.75,79.05,26.82,55.96,74.38,62.53,54.74,75.03,0.0,66.95
147,Elizabeth Greene,STU0147,B.Tech CSE,33.65,4.23,62.78,84.34,46.56,73.82,90.31,82.87,91.0,68.55,51.89,9.95
148,Gregory Nguyen,STU0148,B.Tech AIML,43.85,28.92,100.0,45.6,53.08,63.79,51.09,92.38,34.43,54.87,31.44,17.0
149,John Clark,STU0149,B.Tech AIDS,34.71,49.07,39.27,32.69,14.84,47.92,12.38,69.0,52.06,13.56,42.27,31.2
150,Brianna Pena,STU0150,B.Tech AIML,57.98,83.51,3.12,52.88,46.0,66.78,55.33,31.2,42.02,30.1,76.9,50.53
151,Chris Lee,STU0151,B.Tech AIML,97.53,48.48,32.29,12.16,4.92,10.4,56.68,62.72,10.47,72.38,37.92,53.67
152,Patricia Mcdaniel,STU0152,B.Tech AIML,90.31,72.42,43.29,27.72,0.0,32.02,44.72,25.32,46.72,51.92,44.38,33.75
153,Anthony Smith,STU0153,B.Tech CSE,54.22,61.05,22.74,85.27,47.54,50.47,67.71,55.83,73.83,57.18,34.69,59.04
154,Patrick Garcia,STU0154,B.Tech AIDS,21.41,52.71,49.17,44.8,46.79,2.95,36.28,52.32,54.0,24.31,81.64,28.35
155,Dr. Samantha Herrera,STU0155,B.Tech AIDS,74.24,60.68,33.84,94.38,20.16,72.98,75.01,33.23,84.81,43.75,57.22,56.51
156,Matthew Williams,STU0156,B.Tech CSE,46.64,70.27,69.84,6.29,82.61,8.44,75.81,78.17,22.73,39.73,22.36,44.63
157,Megan Strickland,STU0157,B.Tech CSE,42.3,69.49,82.76,84.89,35.95,44.77,7.91,29.85,74.12,90.39,19.14,35.19
158,Jaclyn Gomez,STU0158,B.Tech CSE,49.34,57.0,29.76,60.6,38.15,49.64,63.66,50.16,39.09,47.26,47.79,40.75
159,Benjamin Wheeler,STU0159,B.Tech AIDS,43.53,89.97,64.02,42.61,67.42,41.65,79.33,59.24,47.32,61.19,10.73,21.83
160,Marisa Nunez,STU0160,B.Tech AIDS,20.15,53.57,93.31,100.0,65.95,62.52,4.97,36.43,30.31,34.48,45.8,38.2
161,Sherry Stout,STU0161,B.Tech CSE,0.52,68.7,23.18,55.98,100.0,27.02,0.0,42.85,77.52,98.96,19.26,62.42
162,Jason Pacheco,STU0162,B.Tech CSE,38.37,47.35,100.0,12.43,56.34,61.69,77.14,52.45,57.7,40.21,56.73,41.42
163,Kristina King,STU0163,B.Tech CSE,65.54,40.76,59.43,49.27,78.15,48.72,5.67,81.55,27.36,33.66,35.11,84.36
164,Morgan Boyd,STU0164,B.Tech AIDS,0.0,100.0,76.4,55.58,48.63,57.14,63.03,66.13,63.89,52.24,45.07,46.22
165,Stacey Harvey,STU0165,B.Tech AIML,45.13,78.34,64.84,0.0,66.4,54.87,49.53,40.29,78.1,73.69,30.68,60.18
166,Nathan Armstrong,STU0166,B.Tech CSE,25.71,15.51,34.33,71.56,73.83,62.83,68.13,62.9,33.96,60.8,70.01,68.86
167,Erica Harvey,STU0167,B.Tech AIDS,79.72,67.71,58.79,76.75,49.34,27.95,45.92,31.38,33.12,46.39,30.19,42.3
168,John Maxwell,STU0168,B.Tech AIML,2.66,55.33,50.03,29.57,66.48,73.44,9.81,30.93,30.77,26.5,70.74,45.15
169,Brian Klein,STU0169,B.Tech AIDS,43.39,0.0,65.89,19.02,51.5,56.93,84.02,17.28,0.0,54.6,95.01,80.97
170,Laurie Robinson,STU0170,B.Tech CSE,55.24,37.71,70.18,25.66,61.91,62.64,76.51,100.0,59.81,37.28,49.36,5.77
171,Sarah Reed,STU0171,B.Tech AIDS,32.63,39.77,36.9,53.81,29.44,78.03,50.01,49.77,41.8,53.88,70.63,28.32
172,Adam Leon,STU0172,B.Tech AIDS,33.55,42.41,16.35,29.52,38.09,71.86,56.56,54.84,71.27,46.57,59.76,47.42
173,Travis Harvey,STU0173,B.Tech CSE,56.63,35.43,0.0,46.64,85.57,73.16,74.13,80.9,52.22,54.93,34.56,42.1
174,Micheal Torres,STU0174,B.Tech AIML,65.39,80.1,46.51,38.75,50.01,65.03,13.9,0.0,36.24,19.48,37.3,46.31
175,Wendy Wilson,STU0175,B.Tech CSE,38.67,86.31,58.17,57.51,65.56,21.53,75.98,48.11,66.76,23.2,11.16,70.45
176,Kevin Guzman,STU0176,B.Tech AIDS,59.41,27.45,28.26,78.14,20.26,91.07,27.48,65.96,41.78,65.08,36.4,45.93
177,Jason Rogers,STU0177,B.Tech CSE,51.02,24.95,68.52,37.17,44.29,25.14,0.0,45.22,100.0,69.62,49.52,43.43
178,Mr. Perry Turner III,STU0178,B.Tech AIML,50.56,63.68,20.48,77.86,67.88,67.95,60.96,50.49,66.82,64.8,41.15,35.66
179,Steven Wang,STU0179,B.Tech AIDS,52.55,88.73,19.02,13.31,54.12,51.27,54.33,56.1,44.42,87.25,9.98,29.29
180,Amber Maldonado,STU0180,B.Tech AIML,47.42,8.92,45.6,91.54,50.52,55.77,18.5,34.59,40.62,42.06,82.04,63.94
181,Lisa Strickland,STU0181,B.Tech CSE,22.21,56.16,62.46,78.5,89.51,24.62,29.73,18.56,44.15,61.66,74.68,48.1
182,Kevin Johnson,STU0182,B.Tech CSE,42.0,53.79,29.12,100.0,9.81,54.62,100.0,50.17,45.25,41.06,45.49,84.32
183,Alyssa Turner,STU0183,B.Tech CSE,0.0,88.34,14.4,43.33,39.27,64.71,10.05,61.55,100.0,15.92,54.74,33.45
184,Paige Weiss,STU0184,B.Tech AIML,60.65,50.48,33.96,62.2,95.11,45.23,67.99,17.67,26.09,61.81,87.1,58.89
185,Terri Martin,STU0185,B.Tech CSE,42.17,49.98,18.74,65.11,72.06,38.7,38.25,56.65,39.08,48.35,100.0,43.82
186,Linda Le,STU0186,B.Tech AIML,41.04,33.81,68.6,45.47,33.77,83.03,85.49,34.99,3.34,75.19,32.88,69.77
187,Lisa Acevedo,STU0187,B.Tech CSE,0.75,72.31,19.72,68.27,50.36,26.15,39.82,67.16,52.65,64.61,99.41,10.89
188,Crystal Evans,STU0188,B.Tech CSE,90.43,52.61,27.53,16.74,45.27,73.04,46.81,87.78,13.72,49.7,18.69,59.09
189,Nicole Lopez,STU0189,B.Tech CSE,72.17,39.48,0.0,54.97,60.92,60.11,80.89,23.22,67.01,79.81,5.54,57.99
